Date,Predicted Temperature
2024-08-30,37.66249
2024-08-31,37.551853
2024-09-01,37.437653
2024-09-02,37.31991
2024-09-03,37.198658
2024-09-04,37.073925
2024-09-05,36.945744
2024-09-06,36.814144
2024-09-07,36.679157
2024-09-08,36.54083
2024-09-09,36.399178
2024-09-10,36.25425
2024-09-11,36.10608
2024-09-12,35.95471
2024-09-13,35.800167
2024-09-14,35.642498
2024-09-15,35.48175
2024-09-16,35.317955
2024-09-17,35.15116
2024-09-18,34.981407
2024-09-19,34.808746
2024-09-20,34.63322
2024-09-21,34.454872
2024-09-22,34.273754
2024-09-23,34.089916
2024-09-24,33.9034
2024-09-25,33.71427
2024-09-26,33.522564
2024-09-27,33.328346
2024-09-28,33.131664
2024-09-29,32.93257
2024-09-30,32.731133
2024-10-01,32.52739
2024-10-02,32.321415
2024-10-03,32.11326
2024-10-04,31.902988
2024-10-05,31.690657
2024-10-06,31.476334
2024-10-07,31.26007
2024-10-08,31.041939
2024-10-09,30.822008
2024-10-10,30.600336
2024-10-11,30.37699
2024-10-12,30.152037
2024-10-13,29.925545
2024-10-14,29.697586
2024-10-15,29.46823
2024-10-16,29.237543
2024-10-17,29.005604
2024-10-18,28.772474
2024-10-19,28.538237
2024-10-20,28.302961
2024-10-21,28.06672
2024-10-22,27.829594
2024-10-23,27.59165
2024-10-24,27.35297
2024-10-25,27.113626
2024-10-26,26.873703
2024-10-27,26.633268
2024-10-28,26.392405
2024-10-29,26.15119
2024-10-30,25.9097
2024-10-31,25.668016
2024-11-01,25.426214
2024-11-02,25.184376
2024-11-03,24.942575
2024-11-04,24.700893
2024-11-05,24.459412
2024-11-06,24.2182
2024-11-07,23.977345
2024-11-08,23.736925
2024-11-09,23.49701
2024-11-10,23.257683
2024-11-11,23.019018
2024-11-12,22.781094
2024-11-13,22.54399
2024-11-14,22.307775
2024-11-15,22.072527
2024-11-16,21.838322
2024-11-17,21.605232
2024-11-18,21.373335
2024-11-19,21.142696
2024-11-20,20.913391
2024-11-21,20.685493
2024-11-22,20.45907
2024-11-23,20.23419
2024-11-24,20.010927
2024-11-25,19.789347
2024-11-26,19.569515
2024-11-27,19.351498
2024-11-28,19.135366
2024-11-29,18.921179
2024-11-30,18.709005
2024-12-01,18.498903
2024-12-02,18.290937
2024-12-03,18.085173
2024-12-04,17.881662
2024-12-05,17.680471
2024-12-06,17.481657
2024-12-07,17.285276
2024-12-08,17.091387
2024-12-09,16.900043
2024-12-10,16.711306
2024-12-11,16.525223
2024-12-12,16.341848
2024-12-13,16.161236
2024-12-14,15.983438
2024-12-15,15.808502
2024-12-16,15.636483
2024-12-17,15.467426
2024-12-18,15.301377
2024-12-19,15.138384
2024-12-20,14.978495
2024-12-21,14.821753
2024-12-22,14.668202
2024-12-23,14.517886
2024-12-24,14.370845
2024-12-25,14.227122
2024-12-26,14.086757
2024-12-27,13.949786
2024-12-28,13.816251
2024-12-29,13.686188
2024-12-30,13.55963
2024-12-31,13.436617
2025-01-01,13.31718
2025-01-02,13.201352
2025-01-03,13.089167
2025-01-04,12.980654
2025-01-05,12.875843
2025-01-06,12.774764
2025-01-07,12.677445
2025-01-08,12.583912
2025-01-09,12.494191
2025-01-10,12.408307
2025-01-11,12.326284
2025-01-12,12.248145
2025-01-13,12.17391
2025-01-14,12.1036005
2025-01-15,12.037235
2025-01-16,11.974833
2025-01-17,11.91641
2025-01-18,11.861985
2025-01-19,11.81157
2025-01-20,11.765182
2025-01-21,11.722831
2025-01-22,11.684529
2025-01-23,11.650289
2025-01-24,11.620117
2025-01-25,11.594023
2025-01-26,11.572015
2025-01-27,11.554099
2025-01-28,11.540279
2025-01-29,11.530559
2025-01-30,11.524942
2025-01-31,11.52343
2025-02-01,11.526022
2025-02-02,11.532718
2025-02-03,11.543516
2025-02-04,11.5584135
2025-02-05,11.577406
2025-02-06,11.600489
2025-02-07,11.627653
2025-02-08,11.658894
2025-02-09,11.6942005
2025-02-10,11.733564
2025-02-11,11.776974
2025-02-12,11.824416
2025-02-13,11.875878
2025-02-14,11.931345
2025-02-15,11.990802
2025-02-16,12.054232
2025-02-17,12.121614
2025-02-18,12.192933
2025-02-19,12.268167
2025-02-20,12.347294
2025-02-21,12.43029
2025-02-22,12.517135
2025-02-23,12.6078005
2025-02-24,12.702263
2025-02-25,12.800493
2025-02-26,12.902466
2025-02-27,13.008147
2025-02-28,13.11751
2025-03-01,13.23052
2025-03-02,13.347148
2025-03-03,13.467357
2025-03-04,13.591113
2025-03-05,13.71838
2025-03-06,13.84912
2025-03-07,13.983297
2025-03-08,14.120871
2025-03-09,14.261801
2025-03-10,14.406045
2025-03-11,14.553563
2025-03-12,14.704309
2025-03-13,14.858241
2025-03-14,15.015313
2025-03-15,15.175478
2025-03-16,15.338688
2025-03-17,15.504897
2025-03-18,15.674055
2025-03-19,15.84611
2025-03-20,16.021015
2025-03-21,16.198713
2025-03-22,16.379154
2025-03-23,16.562286
2025-03-24,16.748053
2025-03-25,16.936398
2025-03-26,17.127266
2025-03-27,17.3206
2025-03-28,17.516344
2025-03-29,17.714437
2025-03-30,17.914822
